Metin,Durum,Temiz
Güzel ürün sıfıra yakın kesiyor. Micro usb kablosu Eski android şarj kablosu ile şarj edebiliyorsunuz. Resimde boyutu büyük görünüyor ama ufak hoş.,1,güzel ürün sıfır yakın kes micro usb kablo eski android şarj kablo şarj resim boyut büyük görün ufak hoş
Kargo Hızı Mükemmel her eve diye başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra bu tarz ürünleri bu mağazadan alacağım bir buçuk günde geldi. Yorumlara bakarak aldım pişman olacağımi sanmıyorum,1,kargo hız mükemmel ev başla mağaza al adam kargo ver tarz ürün mağaza al buçuk gün gel yorum bak al pişman san
Begenmedim iade ettim,0,begenmedim iade
kötü bu firma dan almayın,0,kötü firma al
ürün kalitesi çok iyi performans olarakta güclü makina,1,ürün kalite çok iyi performans olarakta güclü makina
Ürünü begendim fakat kullanılmış gibiydi,2,ürün begendim kullan
"Mağaza bozuk, çalışmayan ürün gönderdi. Defalarca değişim iade talep de bulundum. sürekli oyalayip bahane uydurdular. Sakın almayın bunlardan bir şey.",0,mağaza bozuk çalış ürün gönder defalarca değişim iade talep bulun sürekli oyalayip bahane uy sakın al şey
Fiyatına göre iyi çekme yapmıyor.,0,fiyat göre iyi çek
Üründen memnun kalmadım ve iade etmek istedim ama mağaza kabul etmiyor iade vardiye aldanmayın ürüne...,0,ürün memnun kal iade iste mağaza kabul iade vardiye aldan ürün
"Ürün kısa sürede geldi, paket özenli idi. Kullanımda rahat 1-2-3mm uçlar var daha fazla olabilirdi, onun haricinde fiyatına göre güzel tavsiye ederim.",1,ürün kısa süre gel paket özen kullanım rahat mm uç fazla hariç fiyat göre güzel tavsiye
600 lira para verdim moser aldım bir kutu da geldi rezalet. garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım. 100 liraya bu ürünü aldım mükemmel bir traşı var. jilet traşıyla aynı traşı var hemen hemen. çok memnunum.,1,lira para ver moser al kutu gel rezalet garanti bant yok iç belli değil hemen kargo eleman gönder geri yolla lira ürün al mükemmel traşı jilet traşıyla aynı traşı hemen hemen çok memnun
"Hayır, beğenmedim",0,hayır beğen
Motoru güçlü. Kesimi çok iyi çekme yok. Hassas bölgelerde kullanırken dikkatli olmak lazım :) iki eksiği var bana göre: başlıkları çok kötü. Ben 3 mm kullanırım kısaltırım diye umuyordum ama kullanamadım. Başlığı takınca kesmedi sakalları birazını alıyor birazını bırakıyor falan. Kısacası başlık performansı kötü. Diğer sorun da parlak yüzeyler. Hem çok kaygan hem de kıl tutuyor çok fazla.,2,motor güç kesim çok iyi çek yok hassas bölge kullan dikkat lazım eksik göre başlık çok kötü mm kullan kısal um kullan başlık tak kes sakal al bırak kısacası başlık performans kötü diğer sorun parlak yüzey çok kaygan kıl tut çok fazla
10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makinenin.Kesik kesik çalışıyor en son kendi kendine çalışmayı durduruyor.Beklediğim gibi değildi,0,dk şarj yeşil ışık yan şarj yok makine kesik kesik çalış son çalış dur bekle değ
1 saniye bile düsünmeden alın. Resmen sıfır alıyor sakal ve ense icin aldim sonuc mukemmel. Bu kadar olacagini tahmin etmemistim.,1,saniye düsünme al resmen sıfır al sakal ense icin aldim sonuc mukemmel olacagini tahmin etmemistim
Ürün iyi ama kargo teslimat süresi berbat,2,ürün iyi kargo teslimat süre berbat
evet beğendim tavsiye ederim,1,evet beğen tavsiye
"bu fiyata bu makina harika, bir çok iyi marka dediğinden daha iyi iş çıkarıyor.",1,fiyat makina harika çok iyi marka iyi iş çık
Uzun ömürlü olursa son zamanlarda yaptığım en iyi alışveriş diyebilirim.,1,uzun ömür son zaman iyi alışveriş
Ürünü kullanmadım.Ama paketleme çok özensiz. Sanki 3.el ürün gibi,0,ürün kullan paketle çok özen el ürün
ürün çok kaliteli,1,ürün çok kalite
Bazı arkadaşlar kıl çekiyor/koparıyor demiş. İsterseniz bin tllik tıraş makinesi ile tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle ne bir şikayet aldım ne de kıl çektiğini hissettim kendim de bizzat kullanıyorum gayet iyi daha bugün geldi üç kişide de sorun yok tr-1200 modeli de saç için çok iyi tavsiye ederim,1,bazı arkadaş kıl çek kopar iste tllik tıraş makine tıraş çek ilk sakal tara birbiri ayırın çek makine sorun hiçbir müşteri böyle şikayet al kıl çek hisset bizzat kullan gayet iyi bugün gel üç kişi sorun yok tr model saç için çok iyi tavsiye
evet cok iyiydi,1,evet iyi
"Moser, Panasonic marka pahalı cihazları kullanmış biri oalrak şunu söyleyebilirim ki parasını fazlasıyla hakl eden bir ürün. 2 bin liralık moser cihazı emekli etti, ben kafamı kazımak ve sert sakalımı tıraş etmek için kullanıoyrum, jilete yakın tıraş yapıyor şiddetle tavsiye ederim",1,moser panasonic marka paha cihaz kullan oalrak şu söyle para fazlasıyla hakl ürün lira moser cihaz emekli kafa kazı sert sakal tıraş için kullanıoyrum jilet yakın tıraş şiddet tavsiye
"ürün için saç da keser yazıp müşteri aldatıyorlar ama ürün asla saç kesimi için tasarlanmamıştır.powertec firması türk ama ürünleri çinden alıyorlar türk malı değil ürünler,arayıp sorabilirsiniz.aliexpresten satın alınsa yarı fiyata alınabilirdi,şimdi olsa asla tr den almam.",0,ürün için saç keser yaz müşteri aldat ürün saç kesim için tasarla powertec firma türk ürün çinden al türk mal değil ürün ara sor aliexpres satın alınsa yar fiyat alın şimdi tr al
"Ürün harika rengi, tutuşu çok güzel. Çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün...",1,ürün harika renk tut çok güzel çalış ses rahat açıkcası kalite ürün
ÜRÜNÜN FATURASI YOKK E.POSTAYA GÖNDERMEMİŞLER MAKİNADA SORUN YOK ÇALIŞMASI GÜZEL BU FİYATA ALINABİLECEK EN GÜZEL MAKİNE....,2,ürün fatura yokk posta gönder makinada sorun yok çalış güzel fiyat alın güzel makine
makinayı beğendim Berberim zaten,1,makinayı beğen berber
TEŞEKKÜRLER....,1,teşekkür
"Ben jiletle sakal tıraşı olmaktan bıktığım için ve jilet tahriş ettiği için aldım, jilet gibi sıfır kesiyor.Ben çok beğendim ve artık jilet kullanmayacağım, hem sakal hem ense için yapılmış on numara bir makina, saç traş için olmaz, saç traş için iki kademeli olanları tercih ediniz.",1,jilet sakal tıraş bık için jilet tahriş için al jilet sıfır kes çok beğen artık jilet kullan sakal ense için numara makina saç traş için saç traş için kademe tercih
Henüz kullanmaya başlamadım ama güzel görünüyor.,2,henüz kullan başla güzel görün
urun begen dım skıntısız geldı ama urunu alıcak arkadaslar sunu bılsınler urun sac ıcın uggun degıl sakal ıcın uygun,2,ur begen dım skıntısız geldı ur alıcak arkadas sunu bılsin ur sac ıcın uggun degıl sakal ıcın uygun
ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı da başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz,1,ürün kalite görün berber gör al sakal tıraş başarı kullan kalite göster şimdilik sorun yok başarı cihaz
"Öncelikle ürünü çok geç teslim ettiklerini söylemek istiyorum.. Ürünü açtığımda paketinde verilen taraklardan 1mm ve 3mm olan verilmiş, fakat 2mm olanı göndermemişlerdi. Mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler. Yani ürünü sizin elinize eksik ulaştırıyorlar, bir de tamamlanması için kendi cebinizden kargo parasını da ödüyorsunuz. Mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor, sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor. Tabii ki pratikte hiçbir insan tüm kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri için bu yöntemle paçayı kurtarmaya çalışıyorlar. Ürünü hiçbir şekilde iade almıyorlar. Ürün yanlış,eksik veya kusurlu gelebilir. Ve geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin. Şu ürün için beni 2 haftadır uğraştırdılar.Aldığıma alacağıma bin pişman oldum. Bu ürünü alacaklara bu mağazayı kesinlikle tavsiye etmiyorum.",0,öncelik ürün çok geç teslim söyle iste ürün aç paket ver tarak mm mm ver mm gönder mağaza iletişim geç kargo ücret öde gönder söyle ürün el eksik ulaş tamamla için cep kargo para öde mağaza hiçbir şekil ortak nokta bul çalış ürün teslim al tutanak tut söyle pratik hiçbir insan tüm kutu aç eksik bak bil için yöntem paça kurtar çalış ürün hiçbir şekil iade al ürün yanlış eksik kusur gel gel ürün kesinlikle iade bil karar ver şu ürün için hafta uğraş al al pişman ürün alacak mağaza kesinlikle tavsiye
tavsiye ederim emsallerinden iyi,1,tavsiye emsal iyi
İyi ama paketleme iyi deyil,2,iyi paketle iyi deyil
ürün sakallarımı yoluyor bozuk çıktı kargo parasını ben karşılayıp garantiye yollayacakmışım ??,0,ürün sakal yol bozuk çık kargo para karşıla garanti yolla
Ürünü beğendim güzel kesiyor kullanışlı bir ürün,1,ürün beğen güzel kes kullan ürün
daha öncede alışverişim oldu sorunsuz zamaninda kargoya çıkarttılar. cihaz eksiksiz ve düzgün saglam calisiyor,1,önce alışveriş sorun zamaninda kargo çık cihaz eksik düzgün saglam calisiyor
ürün güzel begendim tıraş oldum hiç çekme yapmıyor,1,ürün güzel begendim tıraş hiç çek
Çöp e atacak parası olan HEMEN alsın !!!!,0,çöp at para hemen al
Ürün hemen bozuldu çin malı zaten 3 kullanımda bozuldu alan pişman olur.,0,ürün hemen boz çin mal kullanım boz al pişman
"Ürün güzel, iki günde elime ulaştı. Kesim aparatlarının plastik kalitesi iyi gibi duruyor umarım zamanla gevşeyip kırılmaz.",1,ürün güzel gün el ulaş kesim aparat plastik kalite iyi dur um zaman gevşe kır
urun anlatıldığı gibi geldi teşekkürler,1,ur anlat gel teşekkür
uzun kil sakal saç kısaltma işi yapmıyor. sadece sıfır kesmek ve kısa olanı dahada kısaltmak için kullanılabilir. neredeyse jilete yakın kısalıkta kesiyor.,0,uzun kil sakal saç kısal iş sadece sıfır kes kısa dahada kısal için kullan neredeyse jilet yakın kısa kes
Tavsiye ederim güzel alışveriş,1,tavsiye güzel alışveriş
ürünü beğenmedim sakal almak için yapılmış ama sakalları çekiyor,0,ürün beğen sakal al için sakal çek
urun mukemmel tahris etmiyor sakalı sıfır alıyor berber tavsiyesi ile aldim,1,ur mukemmel tahris sakal sıfır al berber tavsiye aldim
İLK İZLENİM OLARAK GAYET GÜZEL KULLANDIKCA GÖRECEĞİZ BAKALIM,1,ilk izlenim gayet güzel kullan gör bak
Herkese tavsiye ederim kesinlikle pişman olmazsınız,1,tavsiye kesinlikle pişman
evet çizimi güzel,1,evet çizim güzel
alacak arkadaşlar gönül rahatlığıyla alabilir sakal traşı olurken bazı makineler gibi kıl çekme yapmıyor çok stabil ve güzel kesiyor vücut içinde mükemmel aynı yerden 4-5 sefer geçmenize dahi gerek yok biz biraz zorlayıp saç traşı bile olduk bu ürün alınır,1,al arkadaş gönül rahat al sakal traşı bazı makine kıl çek çok stabil güzel kes vücut iç mükemmel aynı yer sefer geç yok zorla saç traşı ürün alın
Ürün 20 saatte elime ulaştı teşekkür ederim,1,ürün saat el ulaş teşekkür
Ürün harika parasını hak ediyor,1,ürün harika para hak
İlk izlenim olarak gayet güzel ürün. Sessiz çalışıyor. Sıfıra yakın alıyor. Tavsiye ederim. Kutusunda garanti belgesiyle geldi. Şahsen beğendim.,1,ilk izlenim gayet güzel ürün ses çalış sıfır yakın al tavsiye kutu garanti belge gel şahsen beğen
Temiz ve güzel ürün tasfiye ederim..,1,temiz güzel ürün tasfiye
boş yere markaya para vermeyin derim ürün berberlerin kullandigi ürün büyük markalardan alamadığım verimi bu cihazda aldım. Tavsiye ediyorum,1,boş yer marka para ver ürün berber kullandigi ürün büyük marka al verim cihaz al tavsiye
"Fiyatına göre gayet güçlü, güzel, kullanışlı, kaliteli. Emeği geçenlere teşekkür ederim.",1,fiyat göre gayet güç güzel kullan kalite emek geçen teşekkür
Sıfıra yakın alıyor. Tarakları da özellikle sakal için yeterli,1,sıfır yakın al tarak özellikle sakal için yeterli
Ürün çok sesli ve güzel kesmiyor. Ne zaman sakal traşı yapsam ıssırıyor. Yüzüm kan içinde kalıyor.,0,ürün çok ses güzel kes zaman sakal traşı ıssırıyor yüz kan iç kal
güzel ürün teşekkür ederim ??,1,güzel ürün teşekkür
Daha iyisi zor olur,1,iyi zor
ürünü çok araştırdım bunda karar verdim iyi kide almışım çok zarif çok şık bir makine çift şarj girişi var normal kendi fişi var standlı şarj birde mikro usb girişi var powerbank ilede istediğiniz yerde kullanabilirsiniz tavsiye ederim,1,ürün çok araştır karar ver iyi kide al çok zarif çok şık makine çift şarj gir normal fiş standlı şarj mikro usb gir powerbank ilede iste yer kullan tavsiye
Kuaförüm kullanıyordu. Jilet gibi traş yapıyor. Sakal düzeltme için çok harika bir ürün.,1,kuaför kullan jilet traş sakal düzel için çok harika ürün
Teşekkürler ürün anlatıldığı gibi,1,teşekkür ürün anlat
ürün ilk geldiğinden kullandım Çok beğendim Size de tavsiye ederim,1,ürün ilk gel kullan çok beğen tavsiye
Güzel bir ürün tavsiye ederim,1,güzel ürün tavsiye
"Ürün gayet güzel,önceden de aldığım bir ürün.İçeriğinde de eksik çıkmadı,garanti belgesiyle birlikte güzelce paketlenmişti.Teşekkür ederim.",1,ürün gayet güzel önceden al ürün içerik eksik çık garanti belge birlikte güzel paketle teşekkür
"Benim gibi yüzünüze jilet vurmuyorsanız, zarar veriyorsa bu traş makinası tam aradığınız diyebilirim, daha önceki traş bıçaklarımla 2-3 kez geçtiğim yerleri tek seferde tertemiz alıyor, kesinlikle kullandığım en iyi makina.",1,yüz jilet vur zarar ver traş makinası aradığınız önce traş bıçak geç yer tek sefer tertemiz al kesinlikle kullan iyi makina
Bi sıkıntı olmadı zaten bu cihazı başkasında görmüştüm alabilirsiniz sıkıntı yok,1,sıkıntı cihaz başka gör al sıkıntı yok
iletişim iyi ürün sağlam ve kullanışlı,1,iletişim iyi ürün sağlam kullan
Paketleme süper Ürün çok güzel ve kibar ışıklandırması güzel kullanışlı duruyor ancak kutuyu açtım makineyi çıkardım bıçağın olduğu yerdeki koruma aparatını çıkardım her yerinde küçük kıllar vardı ve iç tarafına sıkışmış uzun kıl vardı büyük ihtimal kullanılmış iade edilmiş ürün gönderdiler,2,paketle süper ürün çok güzel kibar ışık güzel kullan dur kutu aç makine çık bıçak yer koruma aparatını çık yer küçük kıl iç taraf sıkış uzun kıl büyük ihtimal kullan iade ürün gönder
ürünü henüz deneme fırsatım olmadı memnun olacağımı düşünüyorum. Berberimde görerek sipariş verdim ense sakal vs için çok uygun olduğunu söyledi.,2,ürün henüz deneme fırsat memnun düşün berber gör sipariş ver ense sakal vs için çok uygun söyle
gerçekten tam bir küçük dev..ufacık duruyor ama zehir gibi çalîşıyor,1,gerçekten küçük dev ufacık dur zehir çalişıyor
Anlatıldığı gibi işlevsel bir ürün. Bıçağı gayet keskin. Küçük boyutlu olması sakal düzeltmede çok kullanışlı hale geliyor. Kısacası beklentimi karşıladı.,1,anlat işlevsel ürün bıçak gayet keskin küçük boyut sakal düzel çok kullan hal gel kısacası beklenti karşıla
7-8 senedir Powertech RFC - 258 ürününü kullanıyordum ve çok memnundum. Temizlerken kırıldı ve Powertech markasına güvendiğim için TR 658 ürününü aldım. TR 658 ürününden pek memnun olduğumu söyleyemeyeceğim. Daha yüksek fiyatlı olmasına rağmen RFC 258’den bariz bir şekilde kullanışsız bir ürün.,0,sene powertech rfc ürün kullan çok memnun temizle kır powertech marka güven için tr ürün al tr ürün memnun söyle yüksek fiyat rağmen rfc bariz şekil kullan ürün
